# JULens Korean company-name reference
# Snapshot source: Naver Pay Securities US stock catalog (NASDAQ/NYSE/AMEX), 2026-08-15
# Format: ticker<TAB>display name
AVEX	AEVEX
AVGO	브로드컴
AVIR	아테아 파마슈티컬스
AVLN	아발린 파마
AVNT	애비엔트
AVNW	아비아트 네트웍스
AVO	미션 프로듀스
AVPT	애브포인트
AVR	안테리스 테크놀로지스 글로벌
AVT	에이브이넷
AVTR	어밴터
AVTX	아발로 테라퓨틱스
AVX	AVAX 원 테크놀로지
AVXL	애너벡스 라이프 사이언시스
AVY	에이버리 데니슨
AWI	암스트롱 월드 인더스트리스
AWK	아메리칸 워터 웍스
AWR	아메리칸 스테이츠 워터
AWRE	어웨어
AWX	아발론 홀딩스
AX	액소스 파이낸셜
AXG	솔로윈 홀딩스
AXGN	옥소젠
AXIL	악실 브랜즈
AXIN	액시엄 인텔리전스 애퀴지션 1
AXON	액손 엔터프라이스
AXP	아메리칸 익스프레스
AXR	앰렙
AXS	액시스 캐피털 홀딩스
AXSM	액섬 테라퓨틱스
AXTA	엑솔타 코팅 시스템즈
AXTI	AXT
AYA	아야 골드 앤 실버
AYI	어큐이티
AYTU	아이투 바이오파마
AZ	A2Z 커스투메이트 솔루션스
AZI	오토지 인터넷 테크놀로지 (글로벌)
AZIO	아지오 AI 홀딩스
AZN	아스트라제네카
AZO	오토존
AZTA	아젠타
AZTR	아지트라
AZZ	AZZ
B	바릭 마이닝
BA	보잉
BAC	뱅크오브아메리카
BACC	블루 애퀴지션
BAER	브리저 에어로스페이스 그룹 홀딩스
BAFN	베이퍼스트 파이낸셜
BAH	부즈 앨런 해밀턴 홀딩
BALL	볼
BALY	발리스
BAM	브룩필드 애셋 매니지먼트
BANC	캘리포니아 은행
BAND	밴드위스
BANF	뱅크퍼스트
BANL	CBL 인터내셔널
BANR	배너
BAOS	바오셩 미디어 그룹 홀딩스
BAP	크레디코프
BARK	바크
BATL	바탈리온 오일
BATRA	아틀란타 브레이브스 홀딩스 Series A
BATRK	아틀란타 브레이브스 홀딩스 Series C
BAX	박스터 인터내셔널
BB	블랙베리
BBAI	빅베어 AI 홀딩스
BBBY	베드 배스 앤드 비욘드
BBCP	콘크리트 펌핑 홀딩스
BBCQ	블라이크로더 애퀴지션 II
BBDC	베어링스 BDC
BBGI	비슬리 브로드캐스트 그룹
BBIO	브릿지바이오 파머
BBLG	본 바이올로직스
BBNX	베타 바이오닉스
BBOT	브릿지바이오 온콜로지 테라퓨틱스
BBSI	바렛 비지니스 서비스
BBT	비콘 파이낸셜
BBUC	브룩필드 비즈니스 홀딩스
BBW	빌드어베어 워크숍
BBWI	배스 앤 바디 웍스
BBY	베스트 바이
BC	브런스윅
BCAB	바이오아틀라
BCAL	캘리포니아 뱅코프
BCAR	디 보럴 ARC 애퀴지션 I
BCAX	바이카라 테라퓨틱스
BCBP	BCB 뱅코프
BCC	보이시 캐스케이드
BCCQ	블라이크뢰더 애퀴지션 III
BCDA	바이오카디아
BCE	BCE
BCG	비나 캐피털 그룹
BCHT	버치테크
BCIC	BCP 인베스트먼트
BCML	베이컴
BCO	브링크스
BCPC	발켐
BCRX	바이오크리스트 파마슈티컬스
BCSF	배인 캐피털 스페셜티 파이낸스
BCSS	베인 캐피털 GSS 인베스트먼트
BCTX	브리아셀 테라퓨틱스
BDC	벨던
BDCI	BTC 디벨롭먼트
BDL	플래니건스 엔터프라이시스
BDMD	베어드 메디컬 인베스트먼트 홀딩스
BDSX	바이오데식스
BDTX	블랙 다이아몬드 테라퓨틱스
BDX	벡톤 디킨슨 앤 코
BE	블룸 에너지
BEAG	볼드 이글 애퀴지션
BEAM	빔 테라퓨틱스
BEAT	하트빔
BEBE	TGE 밸류 크리에이티브 솔루션즈
BEEM	빔 글로벌
BEEP	모바일 인프라스트럭처
BELFA	벨 퓨즈 Class A
BELFB	벨 퓨즈 Class B
BEN	프랭클린 리소시스
BENF	베네피션트
BEPC	Brhc 홀딩스
BESS	비머젠 에너지
BETA	베타 테크놀로지스
BETR	베터 홈 & 파이낸스 홀딩스
BF.A	브라운-포맨 Class A
BF.B	브라운-포맨 Class B
BFAM	브라이트 호라이즌 패밀리 솔루션
BFC	뱅크 퍼스트
BFH	브레드 파이낸셜 홀딩스
BFLY	버터플라이 네트워크
BFRG	불프로그 AI 홀딩스
BFRI	바이오프론테라
BFST	비즈니스 퍼스트 뱅크셰어스
BG	번지 글로벌
BGC	Bgc 그룹
